SquareFeet,Bedrooms,Bathrooms,YearBuilt,AvgIncome,Price
1660,1,2.0,1983,82142,316349
4572,3,2.5,1959,141979,842254
3892,4,3.5,1951,56475,741323
1266,2,1.0,1960,48888,226984
4244,4,2.0,1999,73732,805238
3971,4,1.5,1980,111623,762507
3719,5,2.5,2005,76305,751892
930,2,3.0,2022,76037,301021
2485,4,3.5,1958,39346,529814
1569,4,2.0,1970,30587,337963
3191,2,3.0,2022,42763,637723
3233,2,2.5,1977,89165,605769
1984,4,3.0,2011,137481,521284
4185,2,1.5,1956,99615,681760
4917,4,3.0,1965,66116,861251
3704,4,1.0,1953,115751,653165
1274,5,3.5,1953,121353,409991
1882,1,1.0,1989,120301,363793
3358,4,3.5,1966,125648,715552
2847,3,1.0,2001,55556,524159
3547,1,2.0,2001,89042,637296
1775,1,2.0,1985,48099,341258
2606,1,1.5,1987,139089,473423
989,5,3.0,1999,75096,376747
3534,4,1.5,2012,101986,722940
3805,5,3.0,2012,43230,787003
2699,4,2.5,2011,59009,611288
2067,5,3.0,1956,100969,499522
2328,5,2.5,1976,63866,519232
4002,3,3.5,1963,135400,794352
4356,5,3.5,2020,114246,966022
4690,2,3.5,1954,106975,842267
1446,3,1.5,2004,71855,361351
3688,5,1.5,1951,111557,697347
3235,1,2.0,2011,36416,555833
1400,2,2.0,1970,102516,318751
3163,2,1.5,1970,85915,562273
2861,2,2.5,1959,48058,506810
1041,3,1.5,2007,106637,320934
2841,5,3.0,1988,70718,629697
3624,5,2.0,1954,62602,675369
3412,1,2.0,2014,104658,654038
2163,1,1.5,1962,108112,401486
2278,2,2.0,2002,88067,463218
3356,1,2.0,1994,57516,611940
1575,3,3.0,1981,117969,411927
4814,5,2.0,1985,31089,883916
834,2,3.5,2009,67346,296503
3952,1,1.0,1960,104663,642987
2755,3,2.5,2012,40487,574564
2385,3,3.0,1970,30155,486696
4743,1,1.0,2001,97494,775903
3873,5,2.0,2004,106229,772736
1821,1,1.0,1975,134648,362606
4261,2,2.0,2017,68547,767241
3413,1,1.0,1983,58795,553611
4643,3,1.5,2001,85296,839999
2300,1,3.0,2001,51447,486158
961,5,1.5,1978,66598,302869
2781,4,2.5,1987,71814,584135
1795,1,2.5,1991,120751,387772
4142,5,3.0,1970,105330,833404
4598,5,2.0,1991,128745,891432
2075,3,2.0,1962,117960,442663
1816,5,2.0,2013,93278,491258
1137,5,1.5,1966,85077,348711
1678,5,1.0,1958,142782,409836
1876,5,2.0,1990,132932,468998
4793,2,3.5,1950,101906,890005
1179,2,1.5,1951,39528,231966
1292,3,3.5,2009,123812,450941
2862,1,2.0,1997,80100,508990
4684,5,2.0,1978,139869,907207
864,1,1.5,1959,38179,162805
3368,1,2.0,2007,78781,619636
2827,3,1.0,2009,85267,560287
3495,5,2.0,1970,112379,677445
2295,5,2.0,1977,53952,482539
1191,4,1.0,2024,83798,372311
4361,1,1.0,1983,128696,756927
3078,1,1.5,1957,140434,532317
3899,2,2.5,2008,80939,754175
1000,4,2.5,2021,59516,335409
3904,2,3.0,1998,86526,729946
3254,2,1.0,1966,40449,512790
4445,2,2.0,2009,80290,788146
1604,3,2.5,1994,116661,428770
3531,3,1.5,2018,102954,681191
3573,2,3.0,1981,52746,691919
2370,4,1.5,1993,97990,524396
3490,1,3.0,2014,88810,688172
4640,4,2.5,1957,148362,884530
1828,5,3.5,2021,113297,575062
1302,3,2.5,1992,45223,321891
1670,1,1.5,1950,102237,318322
1006,1,1.5,2000,32597,214312
2284,5,1.0,1973,95677,511577
1663,5,3.5,1973,32659,422186
3590,2,2.0,1966,116516,650466
1363,3,1.5,1954,104567,307912
4991,3,1.5,1969,45037,825879
2557,4,2.5,1970,76738,546615
2478,2,1.0,2007,133965,523776
