CustomerID,Gender,Age,AnnualIncome,SpendingScore
1,Female,60,102,28
2,Male,55,19,81
3,Male,57,35,36
4,Female,53,19,65
5,Female,67,53,47
6,Female,60,87,2
7,Female,54,123,38
8,Female,32,34,16
9,Female,45,24,62
10,Female,35,104,90
11,Female,51,27,39
12,Male,39,35,15
13,Male,28,30,39
14,Male,30,28,28
15,Male,21,101,15
16,Male,39,65,42
17,Male,24,79,78
18,Female,60,68,58
19,Female,41,49,50
20,Male,21,55,58
21,Male,45,80,93
22,Female,32,19,64
23,Female,18,81,63
24,Female,20,111,79
25,Male,31,83,70
26,Female,55,130,77
27,Male,67,36,77
28,Male,18,25,25
29,Female,55,110,25
30,Female,55,91,19
31,Male,38,73,1
32,Female,65,26,26
33,Female,46,54,56
34,Male,22,83,79
35,Female,66,102,15
36,Male,27,89,89
37,Male,45,97,85
38,Female,38,52,41
39,Male,67,45,41
40,Male,24,95,70
41,Female,20,47,50
42,Female,62,22,33
43,Female,64,69,56
44,Male,37,124,16
45,Male,36,76,16
46,Female,52,125,86
47,Male,21,104,20
48,Female,22,31,90
49,Female,18,77,74
50,Male,21,89,98
51,Female,29,51,56
52,Male,44,111,30
53,Male,59,28,70
54,Female,40,127,34
55,Male,42,57,45
56,Female,38,101,74
57,Male,69,17,12
58,Male,41,63,47
59,Male,42,22,88
60,Female,62,24,98
61,Male,63,18,72
62,Female,49,19,30
63,Male,49,133,97
64,Male,22,91,61
65,Female,53,80,87
66,Female,63,131,5
67,Female,59,49,47
68,Female,66,38,94
69,Female,59,37,21
70,Male,56,49,49
71,Male,33,16,68
72,Female,50,39,22
73,Male,66,109,17
74,Male,38,84,74
75,Male,26,46,52
76,Female,23,78,99
77,Male,68,35,77
78,Male,62,48,51
79,Male,52,58,46
80,Female,56,30,22
81,Male,39,21,8
82,Male,58,69,47
83,Female,22,31,10
84,Female,59,64,53
85,Male,40,73,39
86,Male,34,101,97
87,Female,29,38,32
88,Female,40,17,32
89,Female,33,61,41
90,Female,20,107,67
91,Female,47,69,45
92,Female,39,17,69
93,Female,26,26,90
94,Male,46,44,59
95,Female,64,110,31
96,Female,54,34,98
97,Male,40,43,52
98,Female,30,111,20
99,Female,49,31,95
100,Male,63,54,52
101,Female,69,22,31
102,Male,64,28,12
103,Male,65,29,72
104,Male,40,56,55
105,Male,62,86,30
106,Female,34,82,80
107,Male,57,124,17
108,Male,38,59,54
109,Female,19,122,82
110,Male,54,99,33
111,Male,23,78,60
112,Male,61,78,32
113,Male,35,15,18
114,Female,47,77,67
115,Male,39,81,60
116,Female,50,111,11
117,Female,47,56,40
118,Male,34,35,80
119,Male,60,125,65
120,Male,49,20,96
121,Male,59,123,8
122,Female,68,80,24
123,Female,31,33,6
124,Female,27,97,17
125,Male,64,125,38
126,Female,68,20,96
127,Male,53,137,81
128,Male,51,25,95
129,Male,26,121,91
130,Male,59,43,53
131,Male,45,125,28
132,Female,28,32,99
133,Female,31,51,47
134,Male,56,73,97
135,Female,64,23,20
136,Male,36,100,24
137,Male,32,27,84
138,Male,45,136,83
139,Female,41,49,48
140,Male,25,133,10
141,Male,60,38,9
142,Female,26,30,19
143,Female,64,48,51
144,Female,50,41,57
145,Male,50,73,82
146,Male,36,30,60
147,Female,20,41,42
148,Male,27,39,79
149,Female,57,131,92
150,Female,64,29,19
151,Male,59,60,44
152,Male,18,25,82
153,Female,46,87,21
154,Female,67,92,62
155,Female,51,49,59
156,Female,68,37,15
157,Male,30,74,96
158,Female,18,27,33
159,Female,51,30,61
160,Female,46,129,30
161,Male,65,108,85
162,Male,64,132,28
163,Female,30,127,80
164,Male,65,16,90
165,Male,66,26,5
166,Male,70,47,44
167,Female,46,134,21
168,Female,56,91,38
169,Male,41,77,76
170,Female,43,27,76
171,Female,34,114,65
172,Male,24,53,54
173,Male,30,29,31
174,Female,22,100,35
175,Male,43,19,26
176,Female,66,37,29
177,Female,20,116,5
178,Male,24,20,65
179,Female,66,87,4
180,Female,56,53,53
181,Male,70,26,19
182,Male,18,104,17
183,Male,66,89,36
184,Female,34,117,24
185,Male,60,86,7
186,Male,42,15,94
187,Male,20,27,65
188,Male,32,83,37
189,Female,46,29,8
190,Female,70,55,55
191,Male,60,27,30
192,Female,49,27,6
193,Male,43,61,47
194,Male,33,50,48
195,Female,42,16,67
196,Female,45,26,20
197,Male,26,49,45
198,Male,18,44,46
199,Female,46,112,23
200,Male,39,75,63
