Month,Product,Sales,Profit
Jan,Laptop,35795,12175
Jan,Mobile,96820,17544
Jan,Tablet,57194,13832
Jan,Headphones,64131,11452
Feb,Laptop,61090,9415
Feb,Mobile,20769,6114
Feb,Tablet,84925,16345
Feb,Headphones,25311,8819
Mar,Laptop,73707,20072
Mar,Mobile,91932,21731
Mar,Tablet,45658,10500
Mar,Headphones,38431,8010
Apr,Laptop,79150,19092
Apr,Mobile,55773,10593
Apr,Tablet,76886,26652
Apr,Headphones,31394,10108
May,Laptop,61606,11341
May,Mobile,30627,10365
May,Tablet,93969,21338
May,Headphones,43897,7442
Jun,Laptop,43483,7583
Jun,Mobile,37159,5829
Jun,Tablet,55920,11282
Jun,Headphones,89479,26939
Jul,Laptop,86557,21986
Jul,Mobile,98953,26078
Jul,Tablet,29692,10211
Jul,Headphones,92409,22173
Aug,Laptop,57065,18772
Aug,Mobile,52606,17590
Aug,Tablet,60397,11426
Aug,Headphones,21016,7192
Sep,Laptop,43247,12950
Sep,Mobile,29268,7824
Sep,Tablet,83704,17258
Sep,Headphones,28571,5862
Oct,Laptop,58044,18019
Oct,Mobile,68984,23963
Oct,Tablet,82592,15671
Oct,Headphones,68190,21349
Nov,Laptop,59504,17391
Nov,Mobile,81858,24905
Nov,Tablet,58660,19666
Nov,Headphones,84505,14634
Dec,Laptop,42662,13652
Dec,Mobile,98603,21315
Dec,Tablet,55222,15670
Dec,Headphones,83335,17079
